,1.6 V,,1.65 V,,1.7 V,,1.75 V,,1.8 V,,1.85 V,,1.9 V,,1.95 V
5.42813,-21.25068,5.81532,-22.87774,6.00891,-14.82108,5.42813,-4.67918,5.42813,-2.06785,5.81532,1.65968,5.5002,14.70932,5.5002,24.5639
5.43213,-21.15846,5.81892,-22.43022,6.01231,-14.5162,5.43213,-4.67917,5.43213,-2.06785,5.81892,1.65968,5.5042,14.70932,5.5042,24.5639
5.43614,-21.06205,5.82252,-21.96852,6.01572,-14.2019,5.43614,-4.67916,5.43614,-2.06785,5.82252,1.65968,5.50821,14.70932,5.50821,24.5639
5.44014,-20.96129,5.82613,-21.49227,6.01912,-13.87794,5.44014,-4.67916,5.44014,-2.06785,5.82613,1.65969,5.51221,14.70932,5.51221,24.5639
5.44414,-20.85599,5.82973,-21.00109,6.02252,-13.54406,5.44414,-4.67915,5.44414,-2.06785,5.82973,1.65969,5.51622,14.70932,5.51622,24.5639
5.44815,-20.74598,5.83333,-20.49458,6.02593,-13.2,5.44815,-4.67915,5.44815,-2.06785,5.83333,1.65969,5.52022,14.70932,5.52022,24.5639
5.45215,-20.63106,5.83694,-19.97233,6.02933,-12.8455,5.45215,-4.67914,5.45215,-2.06785,5.83694,1.6597,5.52422,14.70932,5.52422,24.5639
5.45616,-20.51105,5.84054,-19.43394,6.03273,-12.48028,5.45616,-4.67913,5.45616,-2.06785,5.84054,1.6597,5.52823,14.70932,5.52823,24.5639
5.46016,-20.38573,5.84414,-18.879,6.03614,-12.10407,5.46016,-4.67912,5.46016,-2.06785,5.84414,1.65971,5.53223,14.70932,5.53223,24.5639
5.46416,-20.2549,5.84775,-18.30707,6.03954,-11.71659,5.46416,-4.67911,5.46416,-2.06785,5.84775,1.65971,5.53624,14.70932,5.53624,24.5639
5.46817,-20.11835,5.85135,-17.71772,6.04294,-11.31755,5.46817,-4.67911,5.46817,-2.06785,5.85135,1.65972,5.54024,14.70932,5.54024,24.5639
5.47217,-19.97585,5.85495,-17.11052,6.04635,-10.90667,5.47217,-4.6791,5.47217,-2.06785,5.85495,1.65973,5.54424,14.70932,5.54424,24.5639
5.47618,-19.82717,5.85856,-16.48501,6.04975,-10.48363,5.47618,-4.67908,5.47618,-2.06785,5.85856,1.65973,5.54825,14.70932,5.54825,24.5639
5.48018,-19.67208,5.86216,-15.84074,6.05315,-10.04815,5.48018,-4.67907,5.48018,-2.06785,5.86216,1.65974,5.55225,14.70932,5.55225,24.5639
5.48418,-19.51032,5.86577,-15.17725,6.05656,-9.59991,5.48418,-4.67906,5.48418,-2.06785,5.86577,1.65975,5.55626,14.70932,5.55626,24.5639
5.48819,-19.34165,5.86937,-14.49405,6.05996,-9.13859,5.48819,-4.67905,5.48819,-2.06785,5.86937,1.65976,5.56026,14.70932,5.56026,24.5639
5.49219,-19.16581,5.87297,-13.79067,6.06336,-8.66388,5.49219,-4.67903,5.49219,-2.06785,5.87297,1.65976,5.56426,14.70932,5.56426,24.5639
5.4962,-18.98252,5.87658,-13.06662,6.06677,-8.17545,5.4962,-4.67902,5.4962,-2.06785,5.87658,1.65977,5.56827,14.70932,5.56827,24.5639
5.5,-18.80124,5.88018,-12.3214,6.07017,-7.67296,5.5,-4.679,5.5,-2.06785,5.88018,1.65978,5.57227,14.70932,5.57227,24.5639
5.5002,-18.7915,5.88378,-11.55452,6.07357,-7.15609,5.5002,-4.679,5.5002,-2.06785,5.88378,1.65979,5.57628,14.70932,5.57628,24.5639
5.5042,-18.59248,5.88739,-10.76544,6.07698,-6.62448,5.5042,-4.67898,5.5042,-2.06785,5.88739,1.6598,5.58028,14.70932,5.58028,24.5639
5.50821,-18.38516,5.89099,-9.95366,6.08038,-6.07779,5.50821,-4.67896,5.50821,-2.06785,5.89099,1.65982,5.58428,14.70932,5.58428,24.5639
5.51221,-18.16922,5.89459,-9.11863,6.08378,-5.51565,5.51221,-4.67894,5.51221,-2.06785,5.89459,1.65983,5.58829,14.70932,5.58829,24.5639
5.51622,-17.94437,5.8982,-8.25983,6.08719,-4.93772,5.51622,-4.67892,5.51622,-2.06785,5.8982,1.65984,5.59229,14.70932,5.59229,24.5639
5.52022,-17.71027,5.9,-7.82135,6.09059,-4.34362,5.52022,-4.6789,5.52022,-2.06785,5.9,1.65985,5.5963,14.70932,5.5963,24.5639
5.52422,-17.46659,5.9018,-7.37671,6.09399,-3.73297,5.52422,-4.67887,5.52422,-2.06785,5.9018,1.65985,5.6003,14.70932,5.6003,24.5639
5.52823,-17.21299,5.90541,-6.46872,6.0974,-3.1054,5.52823,-4.67885,5.52823,-2.06785,5.90541,1.65987,5.6043,14.70932,5.6043,24.5639
5.53223,-16.94913,5.90901,-5.53528,6.1,-2.61384,5.53223,-4.67882,5.53223,-2.06785,5.90901,1.65988,5.60831,14.70932,5.60831,24.5639
5.53624,-16.67463,5.91261,-4.57583,6.1008,-2.46052,5.53624,-4.67879,5.53624,-2.06785,5.91261,1.6599,5.61231,14.70932,5.61231,24.5639
5.54024,-16.38912,5.91622,-3.5898,6.1042,-1.79794,5.54024,-4.67875,5.54024,-2.06785,5.91622,1.65992,5.61632,14.70932,5.61632,24.5639
5.54424,-16.09222,5.91982,-2.57659,6.10761,-1.11727,5.54424,-4.67872,5.54424,-2.06785,5.91982,1.65994,5.62032,14.70932,5.62032,24.5639
5.54825,-15.78355,5.92342,-1.53561,6.11101,-0.41808,5.54825,-4.67868,5.54825,-2.06785,5.92342,1.65996,5.62432,14.70932,5.62432,24.5639
5.55225,-15.46268,5.92703,-0.46626,6.11441,0.30001,5.55225,-4.67864,5.55225,-2.06785,5.92703,1.65998,5.62833,14.70932,5.62833,24.5639
5.55626,-15.12921,5.93063,0.63207,6.11782,1.03743,5.55626,-4.6786,5.55626,-2.06785,5.93063,1.66,5.63233,14.70932,5.63233,24.5639
5.56026,-14.78272,5.93423,1.76,6.12122,1.79461,5.56026,-4.67855,5.56026,-2.06785,5.93423,1.66002,5.63634,14.70932,5.63634,24.5639
5.56426,-14.42275,5.93784,2.91815,6.12462,2.57197,5.56426,-4.6785,5.56426,-2.06785,5.93784,1.66005,5.64034,14.70932,5.64034,24.5639
5.56827,-14.04887,5.94144,4.10716,6.12803,3.36995,5.56827,-4.67845,5.56827,-2.06785,5.94144,1.66008,5.64434,14.70932,5.64434,24.5639
5.57227,-13.6606,5.94505,5.32767,6.13143,4.18898,5.57227,-4.6784,5.57227,-2.06785,5.94505,1.6601,5.64835,14.70932,5.64835,24.5639
5.57628,-13.25748,5.94865,6.58033,6.13483,5.02952,5.57628,-4.67834,5.57628,-2.06785,5.94865,1.66013,5.65235,14.70932,5.65235,24.5639
5.58028,-12.83902,5.95225,7.86579,6.13824,5.89201,5.58028,-4.67827,5.58028,-2.06785,5.95225,1.66017,5.65636,14.70932,5.65636,24.5639
5.58428,-12.40472,5.95586,9.18471,6.14164,6.77693,5.58428,-4.6782,5.58428,-2.06785,5.95586,1.6602,5.66036,14.70932,5.66036,24.5639
5.58829,-11.95407,5.95946,10.53776,6.14505,7.68472,5.58829,-4.67813,5.58829,-2.06785,5.95946,1.66024,5.66436,14.70932,5.66436,24.5639
5.59229,-11.48655,5.96306,11.92562,6.14845,8.61587,5.59229,-4.67805,5.59229,-2.06785,5.96306,1.66027,5.66837,14.70932,5.66837,24.5639
5.5963,-11.00162,5.96667,13.34898,6.15185,9.57085,5.5963,-4.67797,5.5963,-2.06785,5.96667,1.66032,5.67237,14.70932,5.67237,24.5639
5.6003,-10.49873,5.97027,14.80852,6.15526,10.55014,5.6003,-4.67788,5.6003,-2.06785,5.97027,1.66036,5.67638,14.70932,5.67638,24.5639
5.6043,-9.97732,5.97387,16.30494,6.15866,11.55424,5.6043,-4.67779,5.6043,-2.06785,5.97387,1.6604,5.68038,14.70932,5.68038,24.5639
5.60831,-9.43681,5.97748,17.83894,6.16206,12.58364,5.60831,-4.67769,5.60831,-2.06785,5.97748,1.66045,5.68438,14.70932,5.68438,24.5639
5.61231,-8.87661,5.98108,19.41123,6.16547,13.63883,5.61231,-4.67758,5.61231,-2.06785,5.98108,1.6605,5.68839,14.70932,5.68839,24.5639
5.61632,-8.29613,5.98468,21.02253,6.16887,14.72033,5.61632,-4.67746,5.61632,-2.06785,5.98468,1.66056,5.69239,14.70932,5.69239,24.5639
5.62032,-7.69474,5.98829,22.67355,6.17227,15.82864,5.62032,-4.67734,5.62032,-2.06785,5.98829,1.66061,5.6964,14.70932,5.6964,24.5639
5.62432,-7.07182,5.99189,24.36503,6.17568,16.96429,5.62432,-4.67721,5.62432,-2.06785,5.99189,1.66067,5.7,14.70932,5.7,24.5639
5.62833,-6.42671,5.9955,26.09769,6.17908,18.1278,5.62833,-4.67707,5.62833,-2.06785,5.9955,1.66074,5.7004,14.70932,5.7004,24.5639
5.63233,-5.75877,5.9991,27.87228,6.18248,19.31969,5.63233,-4.67692,5.63233,-2.06785,5.9991,1.66081,5.7044,14.70932,5.7044,24.5639
5.63634,-5.06732,6.0027,29.68952,6.18589,20.5405,5.63634,-4.67677,5.63634,-2.06785,6.0027,1.66088,5.70841,14.70932,5.70841,24.5639
5.64034,-4.35168,6.00631,31.55018,6.18929,21.79078,5.64034,-4.6766,5.64034,-2.06785,6.00631,1.66095,5.71241,14.70932,5.71241,24.5639
5.64434,-3.61114,6.00991,33.455,6.19269,23.07105,5.64434,-4.67642,5.64434,-2.06785,6.00991,1.66103,5.71642,14.70932,5.71642,24.5639
5.64835,-2.84499,6.01351,35.40474,6.1961,24.38188,5.64835,-4.67623,5.64835,-2.06785,6.01351,1.66112,5.72042,14.70932,5.72042,24.5639
5.65235,-2.0525,6.01712,37.40015,6.1995,25.72382,5.65235,-4.67602,5.65235,-2.06784,6.01712,1.66121,5.72442,14.70932,5.72442,24.5639
5.65636,-1.23293,6.02072,39.442,6.2029,27.09743,5.65636,-4.67581,5.65636,-2.06784,6.02072,1.66131,5.72843,14.70932,5.72843,24.5639
5.66036,-0.38551,6.02432,41.53106,6.20631,28.50327,5.66036,-4.67558,5.66036,-2.06784,6.02432,1.66141,5.73243,14.70932,5.73243,24.5639
5.66436,0.49051,6.02793,43.6681,6.20971,29.94191,5.66436,-4.67533,5.66436,-2.06784,6.02793,1.66151,5.73644,14.70932,5.73644,24.5639
5.66837,1.39594,6.03153,45.85389,6.21311,31.41392,5.66837,-4.67507,5.66837,-2.06784,6.03153,1.66163,5.74044,14.70932,5.74044,24.5639
5.67237,2.33157,6.03514,48.0892,6.21652,32.91989,5.67237,-4.67479,5.67237,-2.06784,6.03514,1.66175,5.74444,14.70932,5.74444,24.5639
5.67638,3.29822,6.03874,50.37482,6.21992,34.46039,5.67638,-4.6745,5.67638,-2.06784,6.03874,1.66187,5.74845,14.70932,5.74845,24.5639
5.68038,4.29671,6.04234,52.71151,6.22332,36.03601,5.68038,-4.67418,5.68038,-2.06784,6.04234,1.66201,5.75245,14.70932,5.75245,24.5639
5.68438,5.3279,6.04595,55.10007,6.22673,37.64735,5.68438,-4.67385,5.68438,-2.06783,6.04595,1.66215,5.75646,14.70932,5.75646,24.5639
5.68839,6.39264,6.04955,57.54128,6.23013,39.29498,5.68839,-4.6735,5.68839,-2.06783,6.04955,1.6623,5.76046,14.70932,5.76046,24.5639
5.69239,7.49181,6.05315,60.03592,6.23353,40.97953,5.69239,-4.67312,5.69239,-2.06783,6.05315,1.66245,5.76446,14.70932,5.76446,24.5639
5.6964,8.62629,6.05676,62.58478,6.23694,42.70157,5.6964,-4.67272,5.6964,-2.06783,6.05676,1.66262,5.76847,14.70932,5.76847,24.5639
5.7,9.67826,6.06036,65.18863,6.24034,44.46173,5.7,-4.67233,5.7,-2.06783,6.06036,1.6628,5.77247,14.70932,5.77247,24.5639
5.7004,9.79699,6.06396,67.84827,6.24374,46.2606,5.7004,-4.67229,5.7004,-2.06783,6.06396,1.66298,5.77648,14.70932,5.77648,24.5639
5.7044,11.00482,6.06757,70.56447,6.24715,48.0988,5.7044,-4.67184,5.7044,-2.06782,6.06757,1.66318,5.78048,14.70932,5.78048,24.5639
5.70841,12.25071,6.07117,73.33803,6.25055,49.97695,5.70841,-4.67136,5.70841,-2.06782,6.07117,1.66339,5.78448,14.70932,5.78448,24.5639
5.71241,13.53561,6.07477,76.16971,6.25395,51.89565,5.71241,-4.67085,5.71241,-2.06782,6.07477,1.66361,5.78849,14.70932,5.78849,24.5639
5.71642,14.86048,6.07838,79.06031,6.25736,53.85553,5.71642,-4.6703,5.71642,-2.06782,6.07838,1.66384,5.79249,14.70932,5.79249,24.5639
5.72042,16.22628,6.08198,82.0106,6.26076,55.85721,5.72042,-4.66973,5.72042,-2.06781,6.08198,1.66408,5.7965,14.70932,5.7965,24.5639
5.72442,17.63401,6.08559,85.02136,6.26416,57.90131,5.72442,-4.66912,5.72442,-2.06781,6.08559,1.66434,5.8005,14.70932,5.8005,24.5639
5.72843,19.08465,6.08919,88.09335,6.26757,59.98846,5.72843,-4.66847,5.72843,-2.06781,6.08919,1.66461,5.8045,14.70932,5.8045,24.5639
5.73243,20.57922,6.09279,91.22735,6.27097,62.11928,5.73243,-4.66778,5.73243,-2.0678,6.09279,1.6649,5.80851,14.70932,5.80851,24.5639
5.73644,22.11875,6.0964,94.42412,6.27437,64.2944,5.73644,-4.66705,5.73644,-2.0678,6.0964,1.6652,5.81251,14.70932,5.81251,24.5639
5.74044,23.70427,6.1,97.68442,6.27778,66.51445,5.74044,-4.66627,5.74044,-2.06779,6.1,1.66552,5.81652,14.70932,5.81652,24.5639
5.74444,25.33682,6.1036,101.00901,6.28118,68.78006,5.74444,-4.66545,5.74444,-2.06779,6.1036,1.66586,5.82052,14.70932,5.82052,24.5639
5.74845,27.01748,6.10721,104.39864,6.28458,71.09186,5.74845,-4.66458,5.74845,-2.06778,6.10721,1.66621,5.82452,14.70932,5.82452,24.5639
5.75245,28.7473,6.11081,107.85405,6.28799,73.45049,5.75245,-4.66366,5.75245,-2.06777,6.11081,1.66659,5.82853,14.70932,5.82853,24.5639
5.75646,30.52737,6.11441,111.37598,6.29139,75.85656,5.75646,-4.66268,5.75646,-2.06777,6.11441,1.66698,5.83253,14.70932,5.83253,24.5639
5.76046,32.35879,6.11802,114.96517,6.29479,78.31072,5.76046,-4.66164,5.76046,-2.06776,6.11802,1.6674,5.83654,14.70932,5.83654,24.5639
5.76446,34.24267,6.12162,118.62233,6.2982,80.81359,5.76446,-4.66054,5.76446,-2.06775,6.12162,1.66784,5.84054,14.70932,5.84054,24.5639
5.76847,36.1801,6.12523,122.34819,6.3,82.15858,5.76847,-4.65937,5.76847,-2.06775,6.12523,1.6683,5.84454,14.70932,5.84454,24.5639
5.77247,38.17223,6.12883,126.14345,6.3016,83.36581,5.77247,-4.65814,5.77247,-2.06774,6.12883,1.66879,5.84855,14.70932,5.84855,24.5639
5.77648,40.22018,6.13243,130.00881,6.30501,85.96799,5.77648,-4.65683,5.77648,-2.06773,6.13243,1.6693,5.85255,14.70932,5.85255,24.5639
5.78048,42.32509,6.13604,133.94497,6.30841,88.62078,5.78048,-4.65545,5.78048,-2.06772,6.13604,1.66984,5.85656,14.70932,5.85656,24.5639
5.78448,44.48812,6.13964,137.9526,6.31181,91.32479,5.78448,-4.65398,5.78448,-2.06771,6.13964,1.67041,5.86056,14.70932,5.86056,24.5639
5.78849,46.71043,6.14324,142.03237,6.31522,94.08066,5.78849,-4.65243,5.78849,-2.06769,6.14324,1.67101,5.86456,14.70932,5.86456,24.5639
5.79249,48.99318,6.14685,146.18495,6.31862,96.88899,5.79249,-4.65079,5.79249,-2.06768,6.14685,1.67165,5.86857,14.70932,5.86857,24.5639
5.7965,51.33754,6.15045,150.41098,6.32202,99.75042,5.7965,-4.64905,5.7965,-2.06767,6.15045,1.67231,5.87257,14.70932,5.87257,24.5639
5.8005,53.74469,6.15405,154.7111,6.32543,102.66555,5.8005,-4.64721,5.8005,-2.06765,6.15405,1.67301,5.87658,14.70932,5.87658,24.5639
5.8045,56.21583,6.15766,159.08592,6.32883,105.63501,5.8045,-4.64527,5.8045,-2.06764,6.15766,1.67375,5.88058,14.70932,5.88058,24.5639
5.80851,58.75213,6.16126,163.53607,6.33223,108.65939,5.80851,-4.64321,5.80851,-2.06762,6.16126,1.67453,5.88458,14.70932,5.88458,24.5639
5.81251,61.35479,6.16486,168.06214,6.33564,111.73932,5.81251,-4.64104,5.81251,-2.0676,6.16486,1.67535,5.88859,14.70932,5.88859,24.5639
5.81652,64.02501,6.16847,172.6647,6.33904,114.87539,5.81652,-4.63874,5.81652,-2.06758,6.16847,1.67621,5.89259,14.70932,5.89259,24.5639
5.82052,66.764,6.17207,177.34434,6.34244,118.0682,5.82052,-4.63631,5.82052,-2.06756,6.17207,1.67711,5.8966,14.70932,5.8966,24.5639
5.82452,69.57296,6.17568,182.10159,6.34585,121.31834,5.82452,-4.63374,5.82452,-2.06753,6.17568,1.67806,5.9,14.70932,5.9,24.5639
5.82853,72.45308,6.17928,186.937,6.34925,124.6264,5.82853,-4.63102,5.82853,-2.06751,6.17928,1.67907,5.9006,14.70932,5.9006,24.5639
5.83253,75.40559,6.18288,191.85109,6.35265,127.99296,5.83253,-4.62816,5.83253,-2.06748,6.18288,1.68012,5.9046,14.70932,5.9046,24.5639
5.83654,78.43168,6.18649,196.84436,6.35606,131.41861,5.83654,-4.62513,5.83654,-2.06745,6.18649,1.68123,5.90861,14.70932,5.90861,24.5639
5.84054,81.53256,6.19009,201.91729,6.35946,134.90391,5.84054,-4.62193,5.84054,-2.06742,6.19009,1.68239,5.91261,14.70932,5.91261,24.5639
5.84454,84.70945,6.19369,207.07035,6.36286,138.44942,5.84454,-4.61855,5.84454,-2.06739,6.19369,1.68361,5.91662,14.70932,5.91662,24.5639
5.84855,87.96353,6.1973,212.304,6.36627,142.05571,5.84855,-4.61499,5.84855,-2.06735,6.1973,1.6849,5.92062,14.70932,5.92062,24.5639
5.85255,91.29602,6.2009,217.61866,6.36967,145.72332,5.85255,-4.61122,5.85255,-2.06731,6.2009,1.68625,5.92462,14.70932,5.92462,24.5639
5.85656,94.7081,6.2045,223.01473,6.37307,149.4528,5.85656,-4.60725,5.85656,-2.06727,6.2045,1.68767,5.92863,14.70932,5.92863,24.5639
