,1.6 V,,1.65 V,,1.7 V,,1.75 V,,1.8 V,,1.85 V,,1.9 V,,1.95 V
5.92462,166.01443,6.26937,334.39997,6.43433,227.72508,5.92462,-4.49509,5.92462,-2.06587,6.26937,1.72957,6.0007,14.70932,6.0007,24.5639
5.92863,171.05398,6.27297,341.39036,6.43774,232.72011,5.92863,-4.48492,5.92863,-2.06572,6.27297,1.73313,6.0047,14.70932,6.0047,24.5639
5.93263,176.19388,6.27658,348.46534,6.44114,237.78565,5.93263,-4.47423,5.93263,-2.06556,6.27658,1.73685,6.00871,14.70932,6.00871,24.5639
5.93664,181.43503,6.28018,355.62479,6.44454,242.92199,5.93664,-4.46298,5.93664,-2.0654,6.28018,1.74075,6.01271,14.70932,6.01271,24.5639
5.94064,186.77834,6.28378,362.86855,6.44795,248.12942,5.94064,-4.45115,5.94064,-2.06522,6.28378,1.74484,6.01672,14.70932,6.01672,24.5639
5.94464,192.22466,6.28739,370.19642,6.45135,253.40819,5.94464,-4.43872,5.94464,-2.06503,6.28739,1.74912,6.02072,14.70932,6.02072,24.5639
5.94865,197.77482,6.29099,377.60819,6.45475,258.75855,5.94865,-4.42565,5.94865,-2.06483,6.29099,1.75361,6.02472,14.70932,6.02472,24.5639
5.95265,203.42963,6.29459,385.10358,6.45816,264.18071,5.95265,-4.41191,5.95265,-2.06461,6.29459,1.75831,6.02873,14.70932,6.02873,24.5639
5.95666,209.18988,6.2982,392.68233,6.46156,269.67489,5.95666,-4.39748,5.95666,-2.06438,6.2982,1.76323,6.03273,14.70932,6.03273,24.5639
5.96066,215.05629,6.3,396.50285,6.46496,275.24127,5.96066,-4.38232,5.96066,-2.06413,6.3,1.76577,6.03674,14.70932,6.03674,24.5639
5.96466,221.02958,6.3018,400.34409,6.46837,280.88003,5.96466,-4.3664,5.96466,-2.06386,6.3018,1.76838,6.04074,14.70932,6.04074,24.5639
5.96867,227.11044,6.30541,408.08853,6.47177,286.59131,5.96867,-4.34967,5.96867,-2.06358,6.30541,1.77377,6.04474,14.70932,6.04474,24.5639
5.97267,233.29951,6.30901,415.91524,6.47518,292.37524,5.97267,-4.33211,5.97267,-2.06328,6.30901,1.77941,6.04875,14.70932,6.04875,24.5639
5.97668,239.59738,6.31261,423.82381,6.47858,298.23195,5.97668,-4.31368,5.97668,-2.06296,6.31261,1.78532,6.05275,14.70932,6.05275,24.5639
5.98068,246.00464,6.31622,431.81379,6.48198,304.16151,5.98068,-4.29433,5.98068,-2.06261,6.31622,1.7915,6.05676,14.70932,6.05676,24.5639
5.98468,252.52182,6.31982,439.88467,6.48539,310.164,5.98468,-4.27402,5.98468,-2.06224,6.31982,1.79797,6.06076,14.70932,6.06076,24.5639
5.98869,259.1494,6.32342,448.03595,6.48879,316.23948,5.98869,-4.25272,5.98869,-2.06185,6.32342,1.80474,6.06476,14.70932,6.06476,24.5639
5.99269,265.88784,6.32703,456.26705,6.49219,322.38797,5.99269,-4.23037,5.99269,-2.06143,6.32703,1.81182,6.06877,14.70932,6.06877,24.5639
5.9967,272.73756,6.33063,464.57738,6.4956,328.60948,5.9967,-4.20692,5.9967,-2.06099,6.33063,1.81922,6.07277,14.70932,6.07277,24.5639
6.0007,279.69892,6.33423,472.96632,6.499,334.90399,6.0007,-4.18234,6.0007,-2.06051,6.33423,1.82696,6.07678,14.70932,6.07678,24.5639
6.0047,286.77224,6.33784,481.43319,6.5,336.76921,6.0047,-4.15656,6.0047,-2.06,6.33784,1.83506,6.08078,14.70932,6.08078,24.5639
6.00871,293.95781,6.34144,489.97731,6.5024,341.27148,6.00871,-4.12953,6.00871,-2.05946,6.34144,1.84352,6.08478,14.70932,6.08478,24.5639
6.01271,301.25586,6.34505,498.59792,6.50581,347.71189,6.01271,-4.10121,6.01271,-2.05889,6.34505,1.85236,6.08879,14.70932,6.08879,24.5639
6.01672,308.66657,6.34865,507.29427,6.50921,354.22512,6.01672,-4.07152,6.01672,-2.05827,6.34865,1.86161,6.09279,14.70932,6.09279,24.5639
6.02072,316.19009,6.35225,516.06553,6.51261,360.81109,6.02072,-4.04042,6.02072,-2.05762,6.35225,1.87127,6.0968,14.70932,6.0968,24.5639
6.02472,323.8265,6.35586,524.91088,6.51602,367.46966,6.02472,-4.00784,6.02472,-2.05692,6.35586,1.88137,6.1,14.70932,6.1,24.5639
6.02873,331.57585,6.35946,533.82943,6.51942,374.20068,6.02873,-3.97371,6.02873,-2.05618,6.35946,1.89192,6.1008,14.70932,6.1008,24.5639
6.03273,339.43813,6.36306,542.82026,6.52282,381.00399,6.03273,-3.93797,6.03273,-2.05539,6.36306,1.90294,6.1048,14.70932,6.1048,24.5639
6.03674,347.41326,6.36667,551.88243,6.52623,387.87937,6.03674,-3.90055,6.03674,-2.05454,6.36667,1.91445,6.10881,14.70932,6.10881,24.5639
6.04074,355.50114,6.37027,561.01494,6.52963,394.82662,6.04074,-3.86138,6.04074,-2.05365,6.37027,1.92647,6.11281,14.70932,6.11281,24.5639
6.04474,363.7016,6.37387,570.21677,6.53303,401.84547,6.04474,-3.82038,6.04474,-2.0527,6.37387,1.93902,6.11682,14.70932,6.11682,24.5639
6.04875,372.01441,6.37748,579.48687,6.53644,408.93567,6.04875,-3.77747,6.04875,-2.05168,6.37748,1.95212,6.12082,14.70932,6.12082,24.5639
6.05275,380.43929,6.38108,588.82414,6.53984,416.09691,6.05275,-3.73258,6.05275,-2.0506,6.38108,1.9658,6.12482,14.70932,6.12482,24.5639
6.05676,388.97592,6.38468,598.22744,6.54324,423.32888,6.05676,-3.68562,6.05676,-2.04946,6.38468,1.98008,6.12883,14.70932,6.12883,24.5639
6.06076,397.6239,6.38829,607.69562,6.54665,430.63121,6.06076,-3.6365,6.06076,-2.04824,6.38829,1.99498,6.13283,14.70932,6.13283,24.5639
6.06476,406.38277,6.39189,617.22747,6.55005,438.00355,6.06476,-3.58513,6.06476,-2.04694,6.39189,2.01053,6.13684,14.70932,6.13684,24.5639
6.06877,415.25204,6.3955,626.82175,6.55345,445.44549,6.06877,-3.53143,6.06877,-2.04557,6.3955,2.02675,6.14084,14.70932,6.14084,24.5639
6.07277,424.23113,6.3991,636.4772,6.55686,452.95661,6.07277,-3.47528,6.07277,-2.0441,6.3991,2.04367,6.14484,14.70932,6.14484,24.5639
6.07678,433.31942,6.4027,646.1925,6.56026,460.53645,6.07678,-3.4166,6.07678,-2.04255,6.4027,2.06133,6.14885,14.70932,6.14885,24.5639
6.08078,442.51623,6.40631,655.96631,6.56366,468.18454,6.08078,-3.35528,6.08078,-2.0409,6.40631,2.07974,6.15285,14.70932,6.15285,24.5639
6.08478,451.8208,6.40991,665.79726,6.56707,475.90038,6.08478,-3.29121,6.08478,-2.03914,6.40991,2.09893,6.15686,14.70932,6.15686,24.5639
6.08879,461.23233,6.41351,675.68395,6.57047,483.68342,6.08879,-3.22429,6.08879,-2.03728,6.41351,2.11895,6.16086,14.70932,6.16086,24.5639
6.09279,470.74995,6.41712,685.62492,6.57387,491.53313,6.09279,-3.15438,6.09279,-2.0353,6.41712,2.13982,6.16486,14.70932,6.16486,24.5639
6.0968,480.37272,6.42072,695.61869,6.57728,499.4489,6.0968,-3.08139,6.0968,-2.03321,6.42072,2.16157,6.16887,14.70932,6.16887,24.5639
6.1,488.14599,6.42432,705.66377,6.58068,507.43014,6.1,-3.02068,6.1,-2.03144,6.42432,2.18424,6.17287,14.70932,6.17287,24.5639
6.1008,490.09967,6.42793,715.7586,6.58408,515.4762,6.1008,-3.00517,6.1008,-2.03098,6.42793,2.20787,6.17688,14.70932,6.17688,24.5639
6.1048,499.92971,6.43153,725.90161,6.58749,523.58642,6.1048,-2.92561,6.1048,-2.02862,6.43153,2.23248,6.18088,14.70932,6.18088,24.5639
6.10881,509.86175,6.43514,736.0912,6.59089,531.7601,6.10881,-2.84258,6.10881,-2.02611,6.43514,2.25813,6.18488,14.70932,6.18488,24.5639
6.11281,519.89458,6.43874,746.32573,6.59429,539.99653,6.11281,-2.75593,6.11281,-2.02346,6.43874,2.28484,6.18889,14.70932,6.18889,24.5639
6.11682,530.02698,6.44234,756.60352,6.5977,548.29496,6.11682,-2.66552,6.11682,-2.02064,6.44234,2.31266,6.19289,14.70932,6.19289,24.5639
6.12082,540.25762,6.44595,766.92288,6.6011,556.65462,6.12082,-2.57121,6.12082,-2.01766,6.44595,2.34163,6.1969,14.70932,6.1969,24.5639
6.12482,550.58514,6.44955,777.28208,6.6045,565.07471,6.12482,-2.47285,6.12482,-2.01449,6.44955,2.3718,6.2009,14.70932,6.2009,24.5639
6.12883,561.00809,6.45315,787.67935,6.60791,573.55439,6.12883,-2.37029,6.12883,-2.01114,6.45315,2.40321,6.2049,14.70932,6.2049,24.5639
6.13283,571.52498,6.45676,798.11292,6.61131,582.09282,6.13283,-2.26335,6.13283,-2.00759,6.45676,2.4359,6.20891,14.70932,6.20891,24.5639
6.13684,582.13424,6.46036,808.58097,6.61471,590.68911,6.13684,-2.15188,6.13684,-2.00383,6.46036,2.46993,6.21291,14.70932,6.21291,24.5639
6.14084,592.83424,6.46396,819.08165,6.61812,599.34235,6.14084,-2.0357,6.14084,-1.99984,6.46396,2.50534,6.21692,14.70932,6.21692,24.5639
6.14484,603.62329,6.46757,829.61309,6.62152,608.05162,6.14484,-1.91464,6.14484,-1.99562,6.46757,2.54219,6.22092,14.70932,6.22092,24.5639
6.14885,614.49964,6.47117,840.1734,6.62492,616.81594,6.14885,-1.78851,6.14885,-1.99116,6.47117,2.58052,6.22492,14.70932,6.22492,24.5639
6.15285,625.46147,6.47477,850.76065,6.62833,625.63432,6.15285,-1.65712,6.15285,-1.98643,6.47477,2.6204,6.22893,14.70932,6.22893,24.5639
6.15686,636.50689,6.47838,861.37289,6.63173,634.50576,6.15686,-1.52028,6.15686,-1.98143,6.47838,2.66188,6.23293,14.70933,6.23293,24.5639
6.16086,647.63398,6.48198,872.00816,6.63514,643.42922,6.16086,-1.3778,6.16086,-1.97614,6.48198,2.70502,6.23694,14.70933,6.23694,24.5639
6.16486,658.84071,6.48559,882.66445,6.63854,652.40361,6.16486,-1.22945,6.16486,-1.97054,6.48559,2.74987,6.24094,14.70933,6.24094,24.5639
6.16887,670.12503,6.48919,893.33976,6.64194,661.42785,6.16887,-1.07503,6.16887,-1.96462,6.48919,2.79651,6.24494,14.70933,6.24494,24.5639
6.17287,681.48482,6.49279,904.03204,6.64535,670.50082,6.17287,-0.91431,6.17287,-1.95836,6.49279,2.84498,6.24895,14.70933,6.24895,24.5639
6.17688,692.91788,6.4964,914.73922,6.64875,679.62138,6.17688,-0.74708,6.17688,-1.95175,6.4964,2.89537,6.25295,14.70933,6.25295,24.5639
6.18088,704.42198,6.5,925.45923,6.65215,688.78835,6.18088,-0.5731,6.18088,-1.94476,6.5,2.94774,6.25696,14.70933,6.25696,24.5639
6.18488,715.9948,6.5,925.45923,6.65556,698.00053,6.18488,-0.39212,6.18488,-1.93737,6.5,2.94774,6.26096,14.70933,6.26096,24.5639
6.18889,727.634,6.5036,936.18996,6.65896,707.25671,6.18889,-0.2039,6.18889,-1.92956,6.5036,3.00216,6.26496,14.70934,6.26496,24.5639
6.19289,739.33714,6.53243,1022.1639,6.66236,716.55565,6.19289,-0.00819,6.19289,-1.92132,6.50721,3.05869,6.26897,14.70934,6.26897,24.5639
6.1969,751.10175,6.53604,1032.89376,6.66577,725.89606,6.1969,0.19528,6.1969,-1.91261,6.51081,3.11743,6.27297,14.70934,6.27297,24.5639
6.2009,762.92531,6.53964,1043.61244,6.66917,735.27666,6.2009,0.40678,6.2009,-1.90342,6.51441,3.17843,6.27698,14.70934,6.27698,24.5639
6.2049,774.80524,6.54324,1054.31769,6.67257,744.69613,6.2049,0.62658,6.2049,-1.89371,6.51802,3.24179,6.28098,14.70935,6.28098,24.5639
6.20891,786.73888,6.54685,1065.00722,6.67598,754.15312,6.20891,0.85497,6.20891,-1.88347,6.52162,3.30759,6.28498,14.70935,6.28498,24.5639
6.21291,798.72356,6.55045,1075.67878,6.67938,763.64628,6.21291,1.09225,6.21291,-1.87266,6.52523,3.3759,6.28899,14.70935,6.28899,24.5639
6.21692,810.75654,6.55405,1086.33007,6.68278,773.17421,6.21692,1.33872,6.21692,-1.86126,6.52883,3.44681,6.29299,14.70936,6.29299,24.5639
6.22092,822.83502,6.55766,1096.95881,6.68619,782.73551,6.22092,1.59468,6.22092,-1.84923,6.53243,3.52042,6.297,14.70936,6.297,24.5639
6.22492,834.95617,6.56126,1107.5627,6.68959,792.32875,6.22492,1.86045,6.22492,-1.83655,6.53604,3.59682,6.3,14.70936,6.3,24.5639
6.22893,847.1171,6.56486,1118.13945,6.69299,801.95247,6.22893,2.13637,6.22893,-1.82317,6.53964,3.6761,6.301,14.70936,6.301,24.5639
6.23293,859.31488,6.56847,1128.68677,6.6964,811.60519,6.23293,2.42276,6.23293,-1.80908,6.54324,3.75836,6.30501,14.70937,6.30501,24.5639
6.23694,871.54654,6.57207,1139.20234,6.6998,821.28543,6.23694,2.71997,6.23694,-1.79422,6.54685,3.8437,6.30901,14.70937,6.30901,24.5639
6.24094,883.80905,6.57568,1149.68388,6.7,821.85568,6.24094,3.02836,6.24094,-1.77856,6.55045,3.93222,6.31301,14.70938,6.31301,24.5639
6.24494,896.09936,6.57928,1160.12909,6.7032,830.99167,6.24494,3.3483,6.24494,-1.76206,6.55405,4.02402,6.31702,14.70938,6.31702,24.5639
6.24895,908.41437,6.58288,1170.53566,6.70661,840.72237,6.24895,3.68014,6.24895,-1.74468,6.55766,4.11923,6.32102,14.70939,6.32102,24.5639
6.3,1066.20125,6.58649,1180.90129,6.71001,850.47598,6.25295,4.02427,6.25295,-1.72638,6.56126,4.21795,6.32503,14.7094,6.32503,24.5639
6.301,1069.28405,6.59009,1191.22371,6.71341,860.25092,6.25696,4.3811,6.25696,-1.70712,6.56486,4.32029,6.32903,14.7094,6.32903,24.5639
6.30501,1081.60098,6.59369,1201.50062,6.71682,870.0456,6.26096,4.75101,6.26096,-1.68683,6.56847,4.42637,6.33303,14.70941,6.33303,24.5639
6.30901,1093.89249,6.5973,1211.72974,6.72022,879.85842,6.26496,5.13441,6.26496,-1.66548,6.57207,4.53633,6.33704,14.70942,6.33704,24.5639
6.31301,1106.15509,6.6009,1221.90879,6.72362,889.68775,6.26897,5.53174,6.26897,-1.64302,6.57568,4.65027,6.34104,14.70943,6.34104,24.5639
6.31702,1118.38526,6.6045,1232.03552,6.72703,899.53194,6.27297,5.94342,6.27297,-1.61938,6.57928,4.76833,6.34505,14.70944,6.34505,24.5639
6.32102,1130.57949,6.60811,1242.10767,6.73043,909.38933,6.27698,6.3699,6.27698,-1.59452,6.58288,4.89065,6.34905,14.70945,6.34905,24.5639
6.32503,1142.73427,6.61171,1252.12298,6.73383,919.25825,6.28098,6.81162,6.28098,-1.56838,6.58649,5.01736,6.35305,14.70946,6.35305,24.5639
6.32903,1154.84608,6.61532,1262.07923,6.77127,1028.08397,6.28498,7.26905,6.28498,-1.54089,6.59009,5.1486,6.35706,14.70948,6.35706,24.5639
6.33303,1166.91141,6.61892,1271.97419,6.77467,1037.95561,6.28899,7.74267,6.28899,-1.51199,6.59369,5.2845,6.36106,14.70949,6.36106,24.5639
6.33704,1178.92674,6.62252,1281.80565,6.77808,1047.81585,6.29299,8.23296,6.29299,-1.48162,6.5973,5.42523,6.36507,14.7095,6.36507,24.5639
6.34104,1190.88855,6.62613,1291.57142,6.78148,1057.66284,6.297,8.74041,6.297,-1.4497,6.6009,5.57093,6.36907,14.70952,6.36907,24.5639
6.34505,1202.79335,6.62973,1301.26931,6.78488,1067.49476,6.3,9.13257,6.3,-1.42471,6.6045,5.72175,6.37307,14.70954,6.37307,24.5639
6.34905,1214.63765,6.63333,1310.89716,6.78829,1077.30976,6.301,9.26553,6.301,-1.41617,6.60811,5.87786,6.37708,14.70956,6.37708,24.5639
6.35305,1226.41795,6.63694,1320.45283,6.79169,1087.10599,6.30501,9.80884,6.30501,-1.38095,6.61171,6.03941,6.38108,14.70958,6.38108,24.5639
6.35706,1238.1308,6.64054,1329.93419,6.7951,1096.8816,6.30901,10.37088,6.30901,-1.34396,6.61532,6.20658,6.38509,14.7096,6.38509,24.5639
6.36106,1249.77273,6.64414,1339.33912,6.7985,1106.63475,6.31301,10.95217,6.31301,-1.30512,6.61892,6.37954,6.38909,14.70963,6.38909,24.5639
6.36507,1261.3403,6.64775,1348.66554,6.8019,1116.36357,6.31702,11.55327,6.31702,-1.26435,6.62252,6.55846,6.39309,14.70965,6.39309,24.5639
6.36907,1272.83011,6.65135,1357.91139,6.80531,1126.0662,6.32102,12.17475,6.32102,-1.22156,6.62613,6.74352,6.3971,14.70968,6.3971,24.5639
6.37307,1284.23876,6.65495,1367.07461,6.80871,1135.74079,6.32503,12.81718,6.32503,-1.17665,6.62973,6.9349,6.4011,14.70971,6.4011,24.5639
6.37708,1295.56286,6.65856,1376.15319,6.81211,1145.38548,6.32903,13.48115,6.32903,-1.12954,6.63333,7.13281,6.40511,14.70975,6.40511,24.5639
6.38108,1306.79909,6.66216,1385.14512,6.81552,1154.99841,6.33303,14.16726,6.33303,-1.08012,6.63694,7.33742,6.40911,14.70979,6.40911,24.5639
6.38509,1317.94412,6.66577,1394.04844,6.81892,1164.57772,6.33704,14.87612,6.33704,-1.0283,6.64054,7.54895,6.41311,14.70983,6.41311,24.5639
6.38909,1328.99467,6.66937,1402.86119,6.82232,1174.12155,6.34104,15.60834,6.34104,-0.97396,6.64414,7.76759,6.41712,14.70987,6.41712,24.5639
6.39309,1339.94747,6.67297,1411.58146,6.82573,1183.62806,6.34505,16.36458,6.34505,-0.917,6.64775,7.99354,6.42112,14.70992,6.42112,24.5639
6.3971,1350.79932,6.67658,1420.20736,6.82913,1193.09539,6.34905,17.14546,6.34905,-0.85729,6.65135,8.22704,6.42513,14.70997,6.42513,24.5639
6.4011,1361.54702,6.68018,1428.73702,6.83253,1202.5217,6.35305,17.95165,6.35305,-0.79473,6.65495,8.46828,6.42913,14.71002,6.42913,24.5639
6.40511,1372.18743,6.68378,1437.1686,6.83594,1211.90514,6.35706,18.78383,6.35706,-0.72919,6.65856,8.7175,6.43313,14.71008,6.43313,24.5639
6.40911,1382.71745,6.68739,1445.50031,6.83934,1221.24389,6.36106,19.64267,6.36106,-0.66053,6.66216,8.97493,6.43714,14.71014,6.43714,24.5639
6.41311,1393.134,6.69099,1453.73037,6.84274,1230.53611,6.36507,20.52886,6.36507,-0.58863,6.66577,9.2408,6.44114,14.71021,6.44114,24.5639
6.41712,1403.43407,6.69459,1461.85703,6.84615,1239.77998,6.36907,21.44313,6.36907,-0.51334,6.66937,9.51534,6.44515,14.71029,6.44515,24.5639
6.42112,1413.61469,6.6982,1469.87859,6.84955,1248.9737,6.37307,22.38617,6.37307,-0.43453,6.67297,9.7988,6.44915,14.71037,6.44915,24.5639
6.42513,1423.67293,6.7,1473.84944,6.85295,1258.11545,6.37708,23.35873,6.37708,-0.35205,6.67658,10.09144,6.45315,14.71045,6.45315,24.5639
6.42913,1433.60591,6.7018,1477.79338,6.85636,1267.20344,6.38108,24.36155,6.38108,-0.26573,6.68018,10.3935,6.45716,14.71055,6.45716,24.5639
6.43313,1443.4108,6.70541,1485.59975,6.85976,1276.23589,6.38509,25.39539,6.38509,-0.17543,6.68378,10.70525,6.46116,14.71065,6.46116,24.5639
6.43714,1453.08483,6.70901,1493.29609,6.86316,1285.21102,6.38909,26.461,6.38909,-0.08097,6.68739,11.02696,6.46517,14.71076,6.46517,24.5639
6.44114,1462.62529,6.71261,1500.88083,6.86657,1294.12707,6.39309,27.55916,6.39309,0.01782,6.69099,11.35889,6.46917,14.71087,6.46917,24.5639
6.44515,1472.02951,6.71622,1508.35245,6.86997,1302.98229,6.3971,28.69068,6.3971,0.12111,6.69459,11.70133,6.47317,14.711,6.47317,24.5639
6.44915,1481.29488,6.71982,1515.70943,6.87337,1311.77494,6.4011,29.85635,6.4011,0.22908,6.6982,12.05456,6.47718,14.71114,6.47718,24.5639
6.45315,1490.41886,6.72342,1522.95032,6.87678,1320.5033,6.40511,31.05698,6.40511,0.34193,6.7,12.23532,6.48118,14.71128,6.48118,24.5639
6.45716,1499.39896,6.72703,1530.0737,6.88018,1329.16566,6.40911,32.2934,6.40911,0.45986,6.7018,12.41887,6.48519,14.71144,6.48519,24.5639
6.46116,1508.23275,6.73063,1537.07818,6.88358,1337.76033,6.41311,33.56644,6.41311,0.58306,6.70541,12.79456,6.48919,14.71161,6.48919,24.5639
6.46517,1516.91789,6.73423,1543.96241,6.88699,1346.28562,6.41712,34.87695,6.41712,0.71175,6.70901,13.18192,6.49319,14.71179,6.49319,24.5639
6.46917,1525.45207,6.73784,1550.72509,6.89039,1354.73988,6.42112,36.2258,6.42112,0.84615,6.71261,13.58128,6.4972,14.71199,6.4972,24.5639
6.47317,1533.83305,6.74144,1557.36496,6.89379,1363.12147,6.42513,37.61385,6.42513,0.98647,6.71622,13.99293,6.5,14.71214,6.5,24.5639
6.47718,1542.05869,6.74505,1563.88079,6.8972,1371.42874,6.42913,39.04197,6.42913,1.13296,6.71982,14.4172,6.5012,14.7122,6.5012,24.5639
6.48118,1550.12689,6.74865,1570.2714,6.9,1378.2131,6.43313,40.51107,6.43313,1.28585,6.72342,14.85442,6.50521,14.71243,6.50521,24.5639
6.48519,1558.03562,6.75225,1576.53564,6.9006,1379.66011,6.43714,42.02205,6.43714,1.44539,6.72703,15.30493,6.50921,14.71268,6.50921,24.5639
6.48919,1565.78292,6.75586,1582.67241,6.904,1387.81397,6.44114,43.5758,6.44114,1.61184,6.73063,15.76906,6.51321,14.71294,6.51321,24.5639
6.49319,1573.36692,6.75946,1588.68067,6.90741,1395.88876,6.44515,45.17326,6.44515,1.78545,6.73423,16.24715,6.51722,14.71322,6.51722,24.5639
6.4972,1580.78581,6.76306,1594.55939,6.91081,1403.88293,6.44915,46.81536,6.44915,1.96651,6.73784,16.73957,6.52122,14.71353,6.52122,24.5639
6.5,1585.87986,6.76667,1600.3076,6.91421,1411.79496,6.45315,48.50303,6.45315,2.15529,6.74144,17.24666,6.52523,14.71386,6.52523,24.5639
6.5012,1588.03785,6.77027,1605.92438,6.91762,1419.62333,6.45716,50.23723,6.45716,2.35209,6.74505,17.7688,6.52923,14.71421,6.52923,24.5639
6.50521,1595.12139,6.77387,1611.40884,6.92102,1427.36656,6.46116,52.01891,6.46116,2.5572,6.74865,18.30637,6.53323,14.71459,6.53323,24.5639
6.50921,1602.03483,6.77748,1616.76015,6.92442,1435.02319,6.46517,53.84905,6.46517,2.77093,6.75225,18.85972,6.53724,14.715,6.53724,24.5639
6.51321,1608.77667,6.78108,1621.97739,6.92783,1442.59179,6.46917,55.72861,6.46917,2.9936,6.75586,19.42927,6.54124,14.71543,6.54124,24.5639
6.51722,1615.34548,6.78468,1627.05998,6.93123,1450.07093,6.47317,57.65857,6.47317,3.22553,6.75946,20.01539,6.54525,14.7159,6.54525,24.5639
6.52122,1621.73976,6.78829,1632.00709,6.93463,1457.45923,6.47718,59.63994,6.47718,3.46707,6.76306,20.61848,6.54925,14.7164,6.54925,24.5639
6.52523,1627.95839,6.79189,1636.81807,6.93804,1464.75533,6.48118,61.6737,6.48118,3.71855,6.76667,21.23896,6.55325,14.71694,6.55325,24.5639
6.52923,1634.00007,6.7955,1641.4923,6.94144,1471.95789,6.48519,63.76086,6.48519,3.98035,6.77027,21.87723,6.55726,14.71752,6.55726,24.5639
6.53323,1639.86366,6.7991,1646.0292,6.94484,1479.06558,6.48919,65.90243,6.48919,4.25282,6.77387,22.53372,6.56126,14.71814,6.56126,24.5639
6.53724,1645.54814,6.8027,1650.42824,6.94825,1486.07714,6.49319,68.09942,6.49319,4.53634,6.77748,23.20885,6.56527,14.71881,6.56527,24.5639
6.54124,1651.05252,6.80631,1654.68894,6.95165,1492.99129,6.4972,70.35287,6.4972,4.8313,6.78108,23.90306,6.56927,14.71952,6.56927,24.5639
6.54525,1656.37591,6.80991,1658.81085,6.95506,1499.8068,6.5,71.96442,6.5,5.0448,6.78468,24.61678,6.57327,14.72028,6.57327,24.5639
6.54925,1661.5175,6.81351,1662.79358,6.95846,1506.52248,6.5012,72.66379,6.5012,5.13811,6.78829,25.35047,6.57728,14.7211,6.57728,24.5639
6.55325,1666.47654,6.81712,1666.63677,6.96186,1513.13714,6.50521,75.03322,6.50521,5.45717,6.79189,26.10458,6.58128,14.72198,6.58128,24.5639
6.55726,1671.25239,6.82072,1670.3401,6.96527,1519.64964,6.50921,77.46219,6.50921,5.78891,6.7955,26.87956,6.58529,14.72292,6.58529,24.5639
6.56126,1675.84445,6.82432,1673.90332,6.96867,1526.05887,6.51321,79.95175,6.51321,6.13376,6.7991,27.6759,6.58929,14.72392,6.58929,24.5639
6.56527,1680.25222,6.82793,1677.3262,6.97207,1532.36372,6.51722,82.50293,6.51722,6.49216,6.8027,28.49405,6.59329,14.725,6.59329,24.5639
6.56927,1684.47528,6.83153,1680.60857,6.97548,1538.56315,6.52122,85.11678,6.52122,6.86458,6.80631,29.33452,6.5973,14.72615,6.5973,24.5639
6.57327,1688.51327,6.83514,1683.75028,6.97888,1544.65612,6.52523,87.79435,6.52523,7.25149,6.80991,30.19777,6.6013,14.72738,6.6013,24.5639
6.57728,1692.36592,6.83874,1686.75124,6.98228,1550.64165,6.52923,90.53668,6.52923,7.65336,6.81351,31.08432,6.60531,14.7287,6.60531,24.5639
6.58128,1696.03304,6.84234,1689.61142,6.98569,1556.51876,6.53323,93.34483,6.53323,8.0707,6.81712,31.99465,6.60931,14.7301,6.60931,24.5639
6.58529,1699.51452,6.84595,1692.3308,6.98909,1562.28652,6.53724,96.21985,6.53724,8.504,6.82072,32.92929,6.61331,14.73161,6.61331,24.5639
6.58929,1702.8103,6.84955,1694.90943,6.99249,1567.94402,6.54124,99.16277,6.54124,8.95379,6.82432,33.88875,6.61732,14.73322,6.61732,24.5639
6.59329,1705.92042,6.85315,1697.34738,6.9959,1573.4904,6.54525,102.17466,6.54525,9.42061,6.82793,34.87354,6.62132,14.73494,6.62132,24.5639
6.5973,1708.84499,6.85676,1699.64478,6.9993,1578.92482,6.54925,105.25656,6.54925,9.905,6.83153,35.8842,6.62533,14.73677,6.62533,24.5639
6.6013,1711.5842,6.86036,1701.80179,7.0027,1584.24646,6.55325,108.40952,6.55325,10.40751,6.83514,36.92127,6.62933,14.73873,6.62933,24.5639
6.60531,1714.1383,6.86396,1703.81862,7.00611,1589.45457,6.55726,111.63457,6.55726,10.92873,6.83874,37.98529,6.63333,14.74083,6.63333,24.5639
6.60931,1716.50762,6.86757,1705.69552,7.00951,1594.54839,6.56126,114.93275,6.56126,11.46924,6.84234,39.0768,6.63734,14.74306,6.63734,24.5639
6.61331,1718.69257,6.87117,1707.43278,7.01291,1599.52722,6.56527,118.3051,6.56527,12.02965,6.84595,40.19636,6.64134,14.74545,6.64134,24.5639
6.61732,1720.69361,6.87477,1709.03073,7.01632,1604.39039,6.56927,121.75264,6.56927,12.61055,6.84955,41.34453,6.64535,14.74799,6.64535,24.5639
6.62132,1722.5113,6.87838,1710.48974,7.01972,1609.13726,6.57327,125.2764,6.57327,13.2126,6.85315,42.52189,6.64935,14.75071,6.64935,24.5639
6.62533,1724.14624,6.88198,1711.81022,7.02312,1613.76722,6.57728,128.87739,6.57728,13.83642,6.85676,43.729,6.65335,14.7536,6.65335,24.5639
6.62933,1725.59912,6.88559,1712.99261,7.02653,1618.27959,6.58128,132.55663,6.58128,14.48267,6.86036,44.96644,6.65736,14.75669,6.65736,24.5639
6.63333,1726.87069,6.88919,1714.03741,7.02993,1622.674,6.58529,136.3151,6.58529,15.15203,6.86396,46.23481,6.66136,14.75998,6.66136,24.5639
