x_new1,y_new1,x_new2,y_new2,x_new3,y_new3,x_new4,y_new4,x_new5,y_new5,x_new6,y_new6,x_new7,y_new7,x_new8,y_new8
5.41612,1.657350685,5.80811,-8.794421193,5.9987,-13.87619165,5.41612,1.657350685,5.41612,1.657350685,5.8045,-8.69816645,5.49219,-0.37093138,5.49219,-0.37093138
5.42012,1.661372369,5.81171,-8.599368252,6.0021,-13.58811262,5.42012,1.661372369,5.42012,1.661372369,5.80811,-8.505038299,5.4962,-0.332133968,5.4962,-0.332133968
5.42412,1.668236929,5.81532,-8.403794445,6.00551,-13.30052156,5.42412,1.668236929,5.42412,1.668236929,5.81171,-8.310849575,5.5,-0.285407603,5.5,-0.285407603
5.42813,1.715101258,5.81892,-8.291775003,6.00891,-13.15680845,5.42813,1.715101258,5.42813,1.715101258,5.81532,-8.19959057,5.5002,-0.130379876,5.5002,-0.130379876
5.43213,1.721224451,5.82252,-8.077862407,6.01231,-12.84173621,5.43213,1.721224451,5.43213,1.721224451,5.81892,-7.98749966,5.5042,-0.087787537,5.5042,-0.087787537
5.43614,1.727881252,5.82613,-7.857401638,6.01572,-12.51719749,5.43614,1.727881252,5.43614,1.727881252,5.82252,-7.768674052,5.50821,-0.04347529,5.50821,-0.04347529
5.44014,1.734966118,5.82973,-7.629888692,6.01912,-12.18239223,5.44014,1.734966118,5.44014,1.734966118,5.82613,-7.543352905,5.51221,0.002567735,5.51221,0.002567735
5.44414,1.742525455,5.83333,-7.395229479,6.02252,-11.83720347,5.44414,1.742525455,5.44414,1.742525455,5.82973,-7.310705422,5.51622,0.050166002,5.51622,0.050166002
5.44815,1.750921034,5.83694,-7.153965077,6.02593,-11.48261146,5.44815,1.750921034,5.44815,1.750921034,5.83333,-7.071281266,5.52022,0.100222349,5.52022,0.100222349
5.45215,1.759727425,5.84054,-6.904859601,6.02933,-11.11657305,5.45215,1.759727425,5.45215,1.759727425,5.83694,-6.824547252,5.52422,0.151918812,5.52422,0.151918812
5.45616,1.769175438,5.84414,-6.64820134,6.03273,-10.73973463,5.45616,1.769175438,5.45616,1.769175438,5.84054,-6.570097941,5.52823,0.205588799,5.52823,0.205588799
5.46016,1.779374848,5.84775,-6.384010396,6.03614,-10.3518634,5.46016,1.779374848,5.46016,1.779374848,5.84414,-6.307976905,5.53223,0.261443079,5.53223,0.261443079
5.46416,1.790046522,5.85135,-6.111340311,6.03954,-9.951733885,5.46416,1.790046522,5.46416,1.790046522,5.84775,-6.037875106,5.53624,0.319109868,5.53624,0.319109868
