Index,Values
0,5.3
1,5.304004004004004
2,5.308008008008008
3,5.312012012012012
4,5.3160160160160155
5,5.32002002002002
6,5.324024024024024
7,5.328028028028028
8,5.332032032032032
9,5.3360360360360355
10,5.34004004004004
11,5.344044044044044
12,5.348048048048048
13,5.352052052052052
14,5.3560560560560555
15,5.36006006006006
16,5.364064064064064
17,5.368068068068068
18,5.372072072072072
19,5.3760760760760755
20,5.38008008008008
21,5.384084084084084
22,5.388088088088088
23,5.392092092092092
24,5.3960960960960955
25,5.4001001001001
26,5.404104104104104
27,5.408108108108108
28,5.412112112112112
29,5.4161161161161155
30,5.42012012012012
31,5.424124124124124
32,5.428128128128128
33,5.432132132132132
34,5.436136136136136
35,5.44014014014014
36,5.444144144144144
37,5.448148148148148
38,5.452152152152152
39,5.4561561561561565
40,5.46016016016016
41,5.464164164164164
42,5.468168168168168
43,5.472172172172172
44,5.4761761761761765
45,5.48018018018018
46,5.484184184184184
47,5.488188188188188
48,5.492192192192192
49,5.4961961961961965
50,5.5002002002002
51,5.504204204204204
52,5.508208208208208
53,5.512212212212212
54,5.5162162162162165
55,5.52022022022022
56,5.524224224224224
57,5.528228228228228
58,5.532232232232232
59,5.5362362362362365
60,5.54024024024024
61,5.544244244244244
62,5.548248248248248
63,5.552252252252252
64,5.5562562562562565
65,5.56026026026026
66,5.564264264264264
67,5.568268268268268
68,5.572272272272272
69,5.5762762762762765
70,5.58028028028028
71,5.584284284284284
72,5.588288288288288
73,5.592292292292292
74,5.5962962962962965
75,5.6003003003003
76,5.604304304304304
77,5.608308308308308
78,5.612312312312312
79,5.616316316316317
80,5.62032032032032
81,5.624324324324324
82,5.628328328328328
83,5.632332332332332
84,5.636336336336337
85,5.64034034034034
86,5.644344344344344
87,5.648348348348348
88,5.652352352352352
89,5.656356356356357
90,5.66036036036036
91,5.664364364364364
92,5.668368368368368
93,5.672372372372372
94,5.676376376376377
95,5.68038038038038
96,5.684384384384384
97,5.688388388388388
98,5.692392392392392
99,5.696396396396397
100,5.7004004004004
101,5.704404404404404
102,5.708408408408408
103,5.712412412412412
104,5.716416416416417
105,5.72042042042042
