Voltage,Duration_5e-06
0.9,2480.95105
0.904408818,2507.950126
0.908817635,2535.288553
0.913226453,2562.767689
0.917635271,2590.212546
0.922044088,2618.053171
0.926452906,2645.975769
0.930861723,2674.189232
0.935270541,2702.542929
0.939679359,2731.02675
0.944088176,2759.695056
0.948496994,2788.73058
0.952905812,2817.811475
0.957314629,2847.165472
0.961723447,2876.813966
0.966132265,2906.533165
0.970541082,2936.539646
0.9749499,2966.63812
0.979358717,2997.021849
0.983767535,3027.429936
0.988176353,3058.089062
0.99258517,3089.185741
0.996993988,3120.119127
1.001402806,3151.674924
1.005811623,3183.14682
1.010220441,3214.975606
1.014629259,3246.823781
1.019038076,3279.139465
1.023446894,3311.349982
1.027855711,3343.88197
1.032264529,3376.990974
1.036673347,3409.816415
1.041082164,3443.086943
1.045490982,3476.507644
1.0498998,3510.348457
1.054308617,3544.310976
1.058717435,3578.103491
1.063126253,3612.772822
1.06753507,3647.295227
1.071943888,3681.963551
1.076352705,3717.140902
1.080761523,3752.257962
1.085170341,3788.156475
1.089579158,3823.598984
1.093987976,3859.649982
1.098396794,3895.614095
1.102805611,3931.726875
1.107214429,3968.929116
1.111623246,4005.533562
1.116032064,4042.893887
1.120440882,4080.339003
1.124849699,4118.152305
1.129258517,4155.454137
1.133667335,4194.046323
1.138076152,4232.127487
1.14248497,4270.774483
1.146893788,4309.842459
1.151302605,4348.925019
1.155711423,4388.285502
1.16012024,4427.817518
1.164529058,4467.703145
1.168937876,4508.282238
1.173346693,4548.846763
1.177755511,4589.16389
1.182164329,4630.245693
1.186573146,4671.269541
1.190981964,4712.925344
1.195390782,4754.38468
1.199799599,4795.916978
1.204208417,4839.049778
1.208617234,4881.629891
1.213026052,4924.238599
1.21743487,4967.430697
1.221843687,5010.809146
1.226252505,5054.137466
1.230661323,5098.755412
1.23507014,5143.489313
1.239478958,5187.755647
1.243887776,5232.926491
1.248296593,5277.864064
1.252705411,5322.923879
1.257114228,5368.74344
1.261523046,5415.342811
1.265931864,5461.791313
1.270340681,5508.049728
1.274749499,5555.330927
